account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
3201007226,320101001040126,Financial Services-Advertising and Publicity,Payment Side,Positive,Part I
3201007301,320101001050101,South Asia Postal Union Sectt-Salaries,Payment Side,Positive,Part I
3201007405,320101001050105,South Asia Postal Union Sectt-Rewards,Payment Side,Positive,Part I
3201007507,320101001050107,South Asia Postal Union Sectt-Allowances,Payment Side,Positive,Part I
3201007608,320101001050108,South Asia Postal Union Sectt-LTC,Payment Side,Positive,Part I
3201007712,320101001050112,South Asia Postal Union Sectt-Foreign Travel Expenses,Payment Side,Positive,Part I
3201007801,320101001060101,Parcel Directorate-Salaries,Payment Side,Positive,Part I
3201007905,320101001060105,Parcel Directorate-Rewards,Payment Side,Positive,Part I
3201008006,320101001060106,Parcel Directorate-Medical Treatment,Payment Side,Positive,Part I
3201008107,320101001060107,Parcel Directorate-Allowances,Payment Side,Positive,Part I
3201008208,320101001060108,Parcel Directorate-LTC,Payment Side,Positive,Part I
3201008309,320101001060109,Parcel Directorate-Training Expenses,Payment Side,Positive,Part I
3201008411,320101001060111,Parcel Directorate-Domestic Travel Expenses,Payment Side,Positive,Part I
3201008512,320101001060112,Parcel Directorate-Foreign Travel Expenses,Payment Side,Positive,Part I
3201008613,320101001060113,Parcel Directorate-Office Expenses,Payment Side,Positive,Part I
3201008716,320101001060116,Parcel Directorate-Printing and Publication,Payment Side,Positive,Part I
3201008818,320101001060118,Parcel Directorate-Rent for Others,Payment Side,Positive,Part I
3201008919,320101001060119,Parcel Directorate-Digital Equipment,Payment Side,Positive,Part I
3201009024,320101001060124,Parcel Directorate-Fuel and Lubricants,Payment Side,Positive,Part I
3201009126,320101001060126,Parcel Directorate-Advertising andPublicity,Payment Side,Positive,Part I
3201009228,320101001060128,Parcel Directorate-Professional Services,Payment Side,Positive,Part I
3201009329,320101001060129,Parcel Directorate-Repair & Maintenance,Payment Side,Positive,Part I
3201009449,320101001060149,Parcel Directorate-Other Revenue Expenditure,Payment Side,Positive,Part I
3201009501,320101101010101,Circle Office-Salaries,Payment Side,Positive,Part I
3201009602,320101101010102,Circle Office-Wages,Payment Side,Positive,Part I
3201009705,320101101010105,Circle Office-Rewards,Payment Side,Positive,Part I
3201009806,320101101010106,Circle Office-Medical Treatment,Payment Side,Positive,Part I
3201009907,320101101010107,Circle Office-Allowances,Payment Side,Positive,Part I
3201010008,320101101010108,Circle Office-LTC,Payment Side,Positive,Part I
3201010111,320101101010111,Circle Office-Domestic Travel Expenses,Payment Side,Positive,Part I
3201010212,320101101010112,Circle Office-Foreign Travel Expenses,Payment Side,Positive,Part I
3201010313,320101101010113,Circle Office-Office Expenses,Payment Side,Positive,Part I
3201010414,320101101010114,"Circle Office-Rent,Rates & Taxes for Land and Buidlings",Payment Side,Positive,Part I
3201010516,320101101010116,Circle Office-Printing and Publication,Payment Side,Positive,Part I
3201010618,320101101010118,Circle Office-Rent for Others,Payment Side,Positive,Part I
3201010719,320101101010119,Circle Office-Digital Equipment,Payment Side,Positive,Part I
3201010821,320101101010121,Circle Office-Materials and Supplies,Payment Side,Positive,Part I
3201010924,320101101010124,Circle Office-Fuels and Lubricants,Payment Side,Positive,Part I
3201011026,320101101010126,Circle Office-Advertising and Publicity,Payment Side,Positive,Part I
3201011127,320101101010127,Circle Office-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201011228,320101101010128,Circle Office-Professional Services,Payment Side,Positive,Part I
3201011329,320101101010129,Circle Office-Repair and Maintenance,Payment Side,Positive,Part I
3201011440,320101101010140,Circle Office-Awards and Prizes,Payment Side,Positive,Part I
3201011549,320101101010149,Circle Office-Other Revenue Expenditure,Payment Side,Positive,Part I
3201011664,320101101010164,Circle Office-Write off of losses,Payment Side,Positive,Part I
3201011701,320101101020101,BD Branch-Salaries,Payment Side,Positive,Part I
3201011802,320101101020102,BD Branch-Wages,Payment Side,Positive,Part I
3201011905,320101101020105,BD Branch-Rewards,Payment Side,Positive,Part I
3201012107,320101101020107,BD Branch-Allowances,Payment Side,Positive,Part I
3201012208,320101101020108,BD Branch-LTC,Payment Side,Positive,Part I
3201012311,320101101020111,BD Branch-Domestic Travel Expenses,Payment Side,Positive,Part I
3201012412,320101101020112,BD Branch-Foreign Travel Expenses,Payment Side,Positive,Part I
3201012513,320101101020113,BD Branch-Office Expenses,Payment Side,Positive,Part I
3201012614,320101101020114,"BD Branch-Rent,Rates & Taxes for Land and Buidlings",Payment Side,Positive,Part I
3201012716,320101101020116,BD Branch-Printing and Publication,Payment Side,Positive,Part I
3201012818,320101101020118,BD Branch-Rent for Others,Payment Side,Positive,Part I
3201012919,320101101020119,BD Branch-Digital Equipment,Payment Side,Positive,Part I
3201013021,320101101020121,BD Branch-Materials and Supplies,Payment Side,Positive,Part I
3201013124,320101101020124,BD Branch-Fuels and Lubricants,Payment Side,Positive,Part I
3201013226,320101101020126,BD Branch-Advertising and Publicity,Payment Side,Positive,Part I
3201013327,320101101020127,BD Branch-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201013428,320101101020128,BD Branch-Professional Services,Payment Side,Positive,Part I
3201013529,320101101020129,BD Branch-Repair and Maintenance,Payment Side,Positive,Part I
3201013649,320101101020149,BD Branch-Other Revenue Expenditure,Payment Side,Positive,Part I
3201013764,320101101020164,BD Branch-Write off of lossses,Payment Side,Positive,Part I
3201013826,320101101020226,Marketing Function of DoP (Scheme)-Advertising and Publicity,Payment Side,Positive,Part I
3201013901,320101101030101,Postal Division-Salaires,Payment Side,Positive,Part I
3201014002,320101101030102,Postal Division-Wages,Payment Side,Positive,Part I
3201014105,320101101030105,Postal Division-Rewards,Payment Side,Positive,Part I
3201014206,320101101030106,Postal Division-Medical Treatment,Payment Side,Positive,Part I
3201014307,320101101030107,Postal Division-Allowances,Payment Side,Positive,Part I
3201014511,320101101030111,Postal Division-Domestic Travel Expenses,Payment Side,Positive,Part I
3201014613,320101101030113,Postal Division-Office Expenses,Payment Side,Positive,Part I
3201014714,320101101030114,"Postal Division-Rent,Rates & Taxes for Land and Buidlings",Payment Side,Positive,Part I
3201014816,320101101030116,Postal Division-Printing and Publication,Payment Side,Positive,Part I
3201014918,320101101030118,Postal Division-Rent for Others,Payment Side,Positive,Part I
3201015019,320101101030119,Postal Division-Digital Equipment,Payment Side,Positive,Part I
3201015121,320101101030121,Postal Division-Materials and Supplies,Payment Side,Positive,Part I
3201015224,320101101030124,Postal Division-Fuels and Lubricants,Payment Side,Positive,Part I
3201015326,320101101030126,Postal Division-Advertising and Publicity,Payment Side,Positive,Part I
3201015427,320101101030127,Postal Division-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201015528,320101101030128,Postal Division-Professinal Services,Payment Side,Positive,Part I
3201015629,320101101030129,Postal Division-Repair and Maintenance,Payment Side,Positive,Part I
3201015749,320101101030149,Postal Division-Other Revenue Expenditure,Payment Side,Positive,Part I
3201015864,320101101030164,Postal Division-Write off of losses,Payment Side,Positive,Part I
3201015901,320101101040101,RMS Divisions-Salaries,Payment Side,Positive,Part I
3201016002,320101101040102,RMS Divisions-Wages,Payment Side,Positive,Part I
3201016105,320101101040105,RMS Divisions-Rewards,Payment Side,Positive,Part I
3201016206,320101101040106,RMS Divisions-Medical Treatment,Payment Side,Positive,Part I
3201016307,320101101040107,RMS Divisions-Allowances,Payment Side,Positive,Part I
3201016511,320101101040111,RMS Divisions-Domestic Travel Expenses,Payment Side,Positive,Part I
3201016613,320101101040113,RMS Divisions-Office Expenses,Payment Side,Positive,Part I
3201016714,320101101040114,"RMS Divisions-Rent,Rates & Taxes for Land and Buidlings",Payment Side,Positive,Part I
3201016816,320101101040116,RMS Divisions-Prinitng and Publication,Payment Side,Positive,Part I
3201016918,320101101040118,RMS Divisions-Rent for Others,Payment Side,Positive,Part I
3201017121,320101101040121,RMS Divisions-Materials and Supplies,Payment Side,Positive,Part I
3201017224,320101101040124,RMS Divisions-Fuels and Lubricants,Payment Side,Positive,Part I
3201017326,320101101040126,RMS Divisions-Advertising and Publicity,Payment Side,Positive,Part I
3201017427,320101101040127,RMS Divisions-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201017528,320101101040128,RMS Divisions-Professional Services,Payment Side,Positive,Part I
3201017629,320101101040129,RMS Divisions-Repairs and Maintenance,Payment Side,Positive,Part I
3201017749,320101101040149,RMS Divisions-Other Revenue Expenditure,Payment Side,Positive,Part I
3201017864,320101101040164,RMS Divisions-Write off of losses,Payment Side,Positive,Part I
3201017901,320101101050101,Foreign Post Divisions-Salaries,Payment Side,Positive,Part I
3201018002,320101101050102,Foreign Post Divisions-Wages,Payment Side,Positive,Part I
3201018105,320101101050105,Foreign Post Divisions-Rewards,Payment Side,Positive,Part I
3201018206,320101101050106,Foreign Post Divisions-Medical Treatment,Payment Side,Positive,Part I
3201018307,320101101050107,Foreign Post Divisions-Allowances,Payment Side,Positive,Part I
3201018408,320101101050108,Foreign Post Divisions-LTC,Payment Side,Positive,Part I
3201018511,320101101050111,Foreign Post Divisions-Domestic Travel Expenses,Payment Side,Positive,Part I
3201018613,320101101050113,Foreign Post Divisions-OfficeExpenses,Payment Side,Positive,Part I
3201018714,320101101050114,Foreign Post Divisions-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201018816,320101101050116,Foreign Post Divisions-Printing and Pulication,Payment Side,Positive,Part I
3201018918,320101101050118,Foreign Post Divisions-Rent for Others,Payment Side,Positive,Part I
