mismatch_code,mismatch_desc,cleared_code,cleared_desc
8671003600,Other Data_Receipts_Mismatch,8671003700,Other Data_Receipts_Mismatch_Cleared
8671003200,IPPB Data_Receipts_Mismatch,8671003300,IPPB Data_Receipts_Mismatch_Cleared
8671002800,PLI/RPLI Data_Receipts_Mismatch,8671002900,PLI/RPLI Data_Receipts_Mismatch_Cleared
8671002400,CBS Data_Receipts_Mismatch,8671002500,CBS Data_Receipts_Mismatch_Cleared
8671002600,CBS Data_Payments_Mismatch,8671002700,CBS Data_Payments_Mismatch_Cleared
8671003000,PLI/RPLI Data_Payments_Mismatch,8671003100,PLI/RPLI Data_Payments_Mismatch_Cleared
8671003400,IPPB Data_Payments_Mismatch,8671003500,IPPB Data_Payments_Mismatch_Cleared
8671003800,Other Data_Payments_Mismatch,8671003900,Other Data_Payments_Mismatch_Cleared
